     Date         City  Count
0       1      Toronto    621
1       1  Mississauga    472
2       1    Newmarket    190
3       1      Windsor    105
4       2      Toronto    595
5       2  Mississauga    463
6       2    Newmarket    195
7       2      Windsor     93
8       3      Toronto    611
9       3  Mississauga    414
10      3    Newmarket    243
11      3      Windsor     98
12      4      Toronto    599
13      4  Mississauga    436
14      4    Newmarket    190
15      4      Windsor     96
16      5      Toronto    547
17      5  Mississauga    401
18      5    Newmarket    148
19      5      Windsor     92
20      6      Toronto    515
21      6  Mississauga    400
22      6    Newmarket    142
23      6      Windsor    102
24      7      Toronto    662
25      7  Mississauga    506
26      7    Newmarket    201
27      7      Windsor    132
28      8      Toronto    632
29      8  Mississauga    469
30      8    Newmarket    181
31      8      Windsor    146
32      9      Toronto    610
33      9  Mississauga    454
34      9    Newmarket    217
35      9      Windsor    140
36     10      Toronto    586
37     10  Mississauga    464
38     10    Newmarket    179
39     10      Windsor    164
40     11      Toronto    659
41     11  Mississauga    439
42     11    Newmarket    239
43     11      Windsor    123
44     12      Toronto    653
45     12  Mississauga    418
46     12    Newmarket    171
47     12      Windsor    154
48     13      Toronto    570
49     13  Mississauga    413
50     13    Newmarket    165
51     13      Windsor    167
52     14      Toronto    761
53     14  Mississauga    463
54     14    Newmarket    253
55     14      Windsor    214
56     15      Toronto    635
57     15  Mississauga    443
58     15    Newmarket    207
59     15      Windsor    165
60     16      Toronto    719
61     16  Mississauga    462
62     16    Newmarket    264
63     16      Windsor    183
64     17      Toronto    616
65     17  Mississauga    412
66     17    Newmarket    261
67     17      Windsor    119
68     18      Toronto    615
69     18  Mississauga    457
70     18    Newmarket    228
71     18      Windsor    229
72     19      Toronto    617
73     19  Mississauga    419
74     19    Newmarket    212
75     19      Windsor    149
76     20      Toronto    593
77     20  Mississauga    332
78     20    Newmarket    233
79     20      Windsor    162
80     21      Toronto    766
81     21  Mississauga    482
82     21    Newmarket    267
83     21      Windsor    208
84     22      Toronto    689
85     22  Mississauga    458
86     22    Newmarket    280
87     22      Windsor    172
88     23      Toronto    729
89     23  Mississauga    486
90     23    Newmarket    291
91     23      Windsor    223
92     24      Toronto    842
93     24  Mississauga    483
94     24    Newmarket    263
95     24      Windsor    224
96     25      Toronto    680
97     25  Mississauga    416
98     25    Newmarket    260
99     25      Windsor    145
100    26      Toronto    909
101    26  Mississauga    489
102    26    Newmarket    280
103    26      Windsor    185
104    27      Toronto    751
105    27  Mississauga    558
106    27    Newmarket    361
107    27      Windsor    212
108    28      Toronto    930
109    28  Mississauga    597
110    28    Newmarket    360
111    28      Windsor    247
112    29      Toronto    892
113    29  Mississauga    594
114    29    Newmarket    313
115    29      Windsor    215
116    30      Toronto    861
117    30  Mississauga    536
118    30    Newmarket    346
119    30      Windsor    187
120    31      Toronto    856
121    31  Mississauga    528
122    31    Newmarket    327
123    31      Windsor    243
